Term,Year,Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code
Spring,2019,120191 ,KM ,902 ,BS ,5600 ,Operations Management ,  ,  ,7,4,3,0,4,1,1,1,0,0,0,0,0,1,0,0,1,7,0,10KM8037BS
Spring,2019,120191 ,KM ,902 ,MS ,0079 ,Business Administration ,  ,  ,51,18,32,1,1,1,1,1,0,0,0,47,0,1,0,0,1,2,49,10KS0079MS
Spring,2019,120191 ,KM ,902 ,MS ,5148 ,Technology Management ,  ,  ,18,10,8,0,4,0,0,0,0,0,0,14,0,0,0,0,0,3,15,10KS5148MSK
Spring,2019,120191 ,KM ,902 ,MS ,5148 ,Technology Management ,5469 ,Info Technology and Control ,12,8,4,0,1,2,1,1,0,0,1,5,1,2,0,0,3,4,8,10KS5148MSK
Spring,2019,120191 ,KM ,902 ,MS ,5148 ,Technology Management ,5470 ,Supply Chain Management ,17,11,6,0,1,2,0,0,0,0,0,14,0,0,0,0,2,1,16,10KS5148MSK
Spring,2019,120191 ,KM ,902 ,MS ,5148 ,Technology Management ,5500 ,Business Data Analytics ,28,11,17,0,2,0,0,1,0,0,0,25,0,0,0,0,0,3,25,10KS5148MSK
Spring,2019,120191 ,KM ,902 ,MS ,5590 ,Management ,  ,  ,15,7,8,0,7,3,1,4,0,0,0,0,0,2,0,0,3,12,3,1PKS5590MS
Spring,2019,120191 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,39,20,19,0,3,1,1,1,0,0,0,33,0,1,1,0,1,3,36,10KS0079PHD
Spring,2019,120191 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS3924MBA2
Spring,2019,120191 ,KM ,952 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,1954,1316,632,6,990,452,105,141,1,2,31,3,229,130,22,4,614,590,1364,10KS9875MBAU
Spring,2019,120191 ,KM ,952 ,NDEG ,0067 ,Nondegree ,  ,  ,63,30,33,0,1,1,0,0,0,0,0,61,0,0,0,0,1,0,63,10KM0067NDEG
Spring,2019,120191 ,KM ,952 ,NDEG ,9875 ,Business Administration (MBA) ,  ,  ,222,164,57,1,100,50,13,19,0,1,7,1,31,19,2,1,62,6,216,10KS9875NDEU
Spring,2019,120191 ,KM ,952 ,NDEG ,9875 ,Business Administration (MBA) ,  ,  ,4,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,4,10LN9875NDEU
Spring,2019,120191 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,748,432,315,1,393,151,22,84,0,2,22,68,6,28,6,7,173,600,148,10KM0070NONE
Spring,2019,120191 ,KN ,335 ,BS ,5391 ,Learning and Education Studies ,  ,  ,8,3,5,0,0,2,0,3,0,0,1,2,0,1,0,0,2,6,2,10KN5391BS
Spring,2019,120191 ,KN ,335 ,BS ,5391 ,Learning and Education Studies ,5387 ,Applied Learning Science ,3,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,1,10KN5391BS
Spring,2019,120191 ,KN ,335 ,BS ,5391 ,Learning and Education Studies ,5388 ,Ed Equlty & Cltrl Understandng ,12,1,11,0,3,0,3,3,0,0,2,1,0,5,1,0,1,10,2,10KN5391BS
Spring,2019,120191 ,KN ,335 ,BS ,5391 ,Learning and Education Studies ,5389 ,Workplace Trng & Development ,10,4,6,0,6,2,0,2,0,0,0,0,0,0,0,0,3,10,0,10KN5391BS
Spring,2019,120191 ,KN ,335 ,BS ,5391 ,Learning and Education Studies ,5417 ,"Dig. Env. Lrnng, Tchng, Agency ",15,6,9,0,4,2,3,2,0,0,1,3,0,4,0,0,2,10,5,10KN5391BS
Spring,2019,120191 ,KN ,335 ,NDEG ,0067 ,Nondegree ,  ,  ,12,2,10,0,3,0,0,0,0,0,1,8,0,1,1,0,0,4,8,10KN0067NDEG
Spring,2019,120191 ,KN ,335 ,NONE ,5598 ,Education Curriculum Uassign ,  ,  ,16,3,13,0,10,0,2,3,0,0,1,0,0,3,1,0,0,15,1,10KN5598NONE
Spring,2019,120191 ,KN ,570 ,BS ,0093 ,Special Education ,  ,  ,104,13,91,0,79,2,5,14,0,1,3,0,0,6,0,1,4,102,2,10KN0093BS
Spring,2019,120191 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,11,1,10,0,9,0,1,1,0,0,0,0,0,1,0,0,0,10,1,10KS0093EDM
Spring,2019,120191 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,15,1,14,0,12,1,1,1,0,0,0,0,0,1,0,0,1,14,1,10KS0093EDMX
Spring,2019,120191 ,KN ,570 ,MS ,0093 ,Special Education ,  ,  ,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10KS0093MS
Spring,2019,120191 ,KN ,570 ,PHD ,0093 ,Special Education ,  ,  ,24,3,21,0,15,2,0,3,0,0,0,4,0,0,0,0,2,11,13,10KS0093PHD
